"","UserName","Condition","CONFIDENCE.Pre","CONFIDENCE.Post","CONFIDENCE.Change","C.Level.Pre","NewC.Change","C.Change","Timestamp","ActivityNumber","GroupName","GameHalf","GameDay","text","Data","Technical.Constraints","Performance.Parameters","Client.and.Consultant.Requests","Design.Reasoning","Collaboration"
"11","christian x","FirstGame","4","4","0","Low.Pre","No.Change","Neg.Change","9/19/2013 9:46",1,"Electric","First",3,"@Brandon: Yeah it worked this time. I must have done something wrong.",0,0,0,0,0,0
"12","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/19/2013 10:01",3,"Electric","First",3,"Hey Justin, how should we begin to look ate 2 research articles outside of RescuTek?",1,0,0,0,0,0
"13","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/19/2013 10:03",3,"Electric","First",3,"at*",0,0,0,0,0,0
"14","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","9/23/2013 15:03",3,"Electric","First",7,"Are we suppose to formally cite the given sources and our own sources?",0,0,0,0,0,0
"15","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 9:40",4,"Electric","First",8,"What does risk priority mean?",0,0,0,0,1,0
"16","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 9:45",4,"Electric","First",8,"Ok thanks",0,0,0,0,0,0
"17","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:01",4,"Electric","First",8,"Do we have to go somewhere for the group meeting or is it on chat?",0,0,0,0,0,1
"18","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:04",5,"Electric","First",8,"OK. What are we discussing?",0,0,0,0,0,0
"19","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:04",5,"Electric","First",8,"OK. What are we discussing?",0,0,0,0,0,0
"20","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:05",5,"Electric","First",8,"Are we supposed to graph cost per sensor vs RPN?",1,1,1,0,0,0
"21","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:06",5,"Electric","First",8,"For both the sensor and the Battery?",0,1,0,0,0,0
"22","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:06",5,"Electric","First",8,"Usually, a lower RPN has a higher cost.",1,0,1,0,0,0
"23","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:06",5,"Electric","First",8,"Usually, a lower RPN has a higher cost.",1,0,1,0,0,0
"24","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:07",5,"Electric","First",8,"I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.",0,1,0,0,1,0
"25","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:07",5,"Electric","First",8,"The only thing is I think that this one was heavier than the other ones",1,0,0,0,0,0
"26","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:07",5,"Electric","First",8,"I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.",1,0,0,0,1,0
"27","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:07",5,"Electric","First",8,"I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.",1,0,0,0,1,0
"28","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:09",5,"Electric","First",8,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",0,1,0,0,0,0
"29","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:09",5,"Electric","First",8,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",0,1,0,0,0,0
"30","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:10",5,"Electric","First",8,"Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums",1,1,1,0,0,0
"31","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:10",5,"Electric","First",8,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",1,0,0,0,0,0
"32","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:10",5,"Electric","First",8,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",1,0,0,0,0,0
"33","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:11",5,"Electric","First",8,"Its more risky because it had the highest RPN",1,0,1,0,0,0
"34","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:12",5,"Electric","First",8,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",1,1,1,0,1,0
"35","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:12",5,"Electric","First",8,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",1,1,1,0,1,0
"36","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:13",5,"Electric","First",8,"@Brandon: Ya I agree with that.",0,0,0,0,0,0
"37","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:16",5,"Electric","First",8,"I would choose based on lower cost and more reliable and also something that would be convenient for the operator.",1,0,1,0,1,0
"38","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:17",5,"Electric","First",8,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",1,1,1,0,1,0
"39","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/24/2013 10:17",5,"Electric","First",8,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",1,1,1,0,1,0
"40","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:19",5,"Electric","First",8,"I decided how long the battery can last while maintaining voltage and the cost of the battery as most important",0,1,1,0,1,0
"41","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 10:22",5,"Electric","First",8,"The paper said it NiPd was more inefficient but I think according to the graphs in the testing report. It looks that NiPd lasted longer than LiPO",1,1,0,0,0,0
"42","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/24/2013 13:15",5,"Electric","First",8,"Lithium Polymer Battery 54 72Nickel Cadmium Battery 39 56Hydrogen Pro Fuel Cell 78 20",1,1,0,0,0,0
"43","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:35",5,"Electric","First",15,"Well I have one, Vedant sent me an email saying my synthesis was what he was looking for but then 45 seconds later he sent another one that said it was a good synthesis and gave me directions for the worklog so does that mean my synthesis was approved?",1,0,0,0,0,0
"44","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:35",5,"Electric","First",15,"No questions. Notebooks are due basically within 23 hours, worklogs are due in advance of the next work period.",1,0,0,0,0,0
"45","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:35",5,"Electric","First",15,"No questions. Notebooks are due basically within 23 hours, worklogs are due in advance of the next work period.",1,0,0,0,0,0
"46","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:36",5,"Electric","First",15,"was not*",0,0,0,0,0,0
"47","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:38",5,"Electric","First",15,"@Justin Kim: ok thanks",0,0,0,0,0,0
"48","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:42",5,"Electric","First",15,"well I have it in another one is there a way to combine the two?",0,0,0,0,0,0
"49","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:43",5,"Electric","First",15,"ok",0,0,0,0,0,0
"50","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:44",5,"Electric","First",15,"Okay, is there anyway to enlarge the chat?",0,0,0,0,0,0
"51","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:46",5,"Electric","First",15,"Thanks",0,0,0,0,0,0
"52","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:47",5,"Electric","First",15,"Sensors excelled in certain areas but were overall equal to each other over all five attributes. NiCd had the highest combination of attributes for the batteries.",1,1,1,0,0,0
"53","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:47",5,"Electric","First",15,"Sensors excelled in certain areas but were overall equal to each other over all five attributes. NiCd had the highest combination of attributes for the batteries.",1,1,1,0,0,0
"54","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:49",5,"Electric","First",15,"Well i just used evaluations of them as a point system which would determine which has the overall most efficiency and functionability.",0,0,0,0,0,0
"55","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:49",5,"Electric","First",15,"I recommend the Strain-Gauge Control Sensor",0,1,0,0,0,0
"56","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:50",5,"Electric","First",15,"I felt PFC and and NiCd were about equal but NiCd was better in the more important areas of safety and payload. I think the sensors are about even but I think the Piezoelectric sensor was the best choice.",0,1,1,0,1,0
"57","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:51",5,"Electric","First",15,"No, there was not a clearly superior sensor. I chose the piezoelectric sensor because it seemed to be the most balanced to me.",0,1,0,0,1,0
"58","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:51",5,"Electric","First",15,"No, there was not a clearly superior sensor. I chose the piezoelectric sensor because it seemed to be the most balanced to me.",0,1,0,0,1,0
"59","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:51",5,"Electric","First",15,"The sensors are nearly identical in value",0,1,0,0,0,0
"60","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:51",5,"Electric","First",15,"with different strengths and weaknesses to each of them",1,0,0,0,0,0
"61","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:53",5,"Electric","First",15,"I chose based on which graph had the largest area inside of it but if it was about equal I selected based on categories I felt were most important such as safety and payload.",1,0,1,0,1,0
"62","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:53",5,"Electric","First",15,"The best one is the one with the highest total desirability over all five attributes (payload, agility, recharge interval, cost, and safety).",1,0,1,0,1,0
"63","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:53",5,"Electric","First",15,"The best one is the one with the highest total desirability over all five attributes (payload, agility, recharge interval, cost, and safety).",1,0,1,0,1,0
"64","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:55",5,"Electric","First",15,"Like I said using the values given can be used as a point system which is essentially the same as the area enclosed by the graph. The most total points indicates the most valuable components",1,0,0,0,0,0
"65","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:56",5,"Electric","First",15,"I agree. Safety was a key concern to me, more important than cost, and that helped me decide to choose the piezoelectric sensor. The cost is not MUCH more than the strain-gauge sensor, but its safety is quite a bit better. The agility and recharge interval were more balanced for the piezoelectric sensor. Payload, agility, and recharge interval were all about equal to me, but I preferred sensors and batteries that did not lack too much in any of these areas.",0,1,1,0,1,0
"66","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:56",5,"Electric","First",15,"I agree. Safety was a key concern to me, more important than cost, and that helped me decide to choose the piezoelectric sensor. The cost is not MUCH more than the strain-gauge sensor, but its safety is quite a bit better. The agility and recharge interval were more balanced for the piezoelectric sensor. Payload, agility, and recharge interval were all about equal to me, but I preferred sensors and batteries that did not lack too much in any of these areas.",0,1,1,0,1,0
"67","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:56",5,"Electric","First",15,"@Brandon: That's almost exactly my thought process",0,0,0,0,0,0
"68","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:56",5,"Electric","First",15,"I do not think prioritizing is effective because that is opinion.",0,0,0,0,1,0
"69","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:57",5,"Electric","First",15,"It should be based on the statistics, on the other hand when they are equal i also chose safety in the control sensor category",0,1,1,0,1,0
"70","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 9:59",5,"Electric","First",15,"Maybe we should make a prototype with our chosen power source and sensors and test it to gain more information about how they work with the exoskeleton in general.",0,1,0,0,1,0
"71","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:59",5,"Electric","First",15,"I suppose we should figure out how these components are integrated into the exoskeleton as a whole, although we could possibly research more power sources and sensors.",0,1,0,0,1,0
"72","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 9:59",5,"Electric","First",15,"I suppose we should figure out how these components are integrated into the exoskeleton as a whole, although we could possibly research more power sources and sensors.",0,1,0,0,1,0
"73","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:00",5,"Electric","First",15,"@Akash: That would be good. We have information about the sensors and power sources individually, but not power sources and sensors working together.",0,1,0,0,0,0
"74","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:00",5,"Electric","First",15,"@Akash: That would be good. We have information about the sensors and power sources individually, but not power sources and sensors working together.",0,1,0,0,0,0
"75","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:00",5,"Electric","First",15,"I would say more specifically research each component to get a more accurate judgement on which is the best, because a five point scale ranking each of the attributes is not very accurate.",0,0,1,0,1,0
"76","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:02",5,"Electric","First",15,"Perhaps assign us to develop a prototype.",0,0,0,0,1,0
"77","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:03",5,"Electric","First",15,"I just finished the graphs and in my opinion I feel like the Strain Gauge is the best option for the control sensor because it has the overall best average of the main attributes.",1,1,1,0,1,0
"78","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:04",5,"Electric","First",15,"@Justin: Yes. Although we have preferences for certain sensors, we are not completely sure whether there are other important differences.",0,1,0,0,0,0
"79","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:04",5,"Electric","First",15,"@Justin: Yes. Although we have preferences for certain sensors, we are not completely sure whether there are other important differences.",0,1,0,0,0,0
"80","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:04",5,"Electric","First",15,"agreed.",0,0,0,0,0,0
"81","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:05",5,"Electric","First",15,"@Alexander: The piezoelectric and strain-gauge sensors are equally balanced in terms of these rankings. Two 1s, two 2s, and a 3.",0,1,0,0,1,0
"82","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:05",5,"Electric","First",15,"@Alexander: The piezoelectric and strain-gauge sensors are equally balanced in terms of these rankings. Two 1s, two 2s, and a 3.",0,1,0,0,1,0
"83","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:05",5,"Electric","First",15,"It seems that we are split, half strain gauge and half piezoelectric",0,1,0,0,0,0
"84","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:05",5,"Electric","First",15,"Half in favor of*",0,0,0,0,0,0
"85","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:06",5,"Electric","First",15,"@Justin Kim: I think we may need more research with how the sensors and the interact with the battery and that might help us decide a sensor that is superior.",0,1,0,0,1,0
"86","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:06",5,"Electric","First",15,"interaction*",0,0,0,0,0,0
"87","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:06",5,"Electric","First",15,"So it's all opinion and weighing the benefits, unless we can find more differences or more precise differences.",0,0,0,0,0,0
"88","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/1/2013 10:06",5,"Electric","First",15,"So it's all opinion and weighing the benefits, unless we can find more differences or more precise differences.",0,0,0,0,0,0
"89","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:06",5,"Electric","First",15,"Exactly, like I said a five point scale is not very informative of specific in my opinion.",0,0,0,0,0,0
"90","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/1/2013 10:08",5,"Electric","First",15,"notebook, not worklog?",0,0,0,0,0,0
"91","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:33",6,"Electric","First",17,"@Justin Kim: It is submitted.",0,0,0,0,0,0
"92","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:33",6,"Electric","First",17,"@Justin Kim: It is submitted.",0,0,0,0,0,0
"93","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:37",7,"Electric","First",17,"I submitted it last night",0,0,0,0,0,0
"94","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:46",7,"Electric","First",17,"So do we only look at the electric acuator or all three types",0,1,0,0,0,0
"95","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:48",7,"Electric","First",17,"The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload.",1,1,1,0,0,0
"96","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:48",7,"Electric","First",17,"The descriptions and technical specifications page says that the electric actuator has high agility and a fairly low payload.",1,1,1,0,0,0
"97","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:50",7,"Electric","First",17,"I think the electric actuator has a high payload",1,1,1,0,0,0
"98","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:51",7,"Electric","First",17,"I will have the medical side with DaShawn Edwards",0,0,0,1,0,0
"99","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:51",7,"Electric","First",17,"I agree with Brandon. near the end of the page it mentions that it generates less force due to its very quick acceleration.",1,0,0,0,0,0
"100","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:52",7,"Electric","First",17,"I will take Benjamin Taylor",0,0,0,1,0,0
"101","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:52",7,"Electric","First",17,"Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.",1,1,1,1,0,0
"102","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:52",7,"Electric","First",17,"Meredith Yamasaki-Nolan wants a low cost and high agility. This actuator seems to have a high agility and its cost is the second lowest. I think I'll work with her.",1,1,1,1,0,0
"103","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:53",7,"Electric","First",17,"@Brandon: Oh wait I see what you are looking at",0,0,0,0,0,0
"104","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:54",7,"Electric","First",17,"I'm kind of confused on what we are supposed to actually do with the consultants we chose",0,0,0,1,1,0
"105","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:56",7,"Electric","First",17,"@Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.",0,1,0,1,0,0
"106","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 9:56",7,"Electric","First",17,"@Akash: The email seems to say that we evaluate the actuators based on the factors the consultant wants.",0,1,0,1,0,0
"107","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:57",7,"Electric","First",17,"So we pretty much do the same thing we did last work day but this time we say what the consultants would say about the electric actuator",0,1,0,1,0,0
"108","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 9:57",7,"Electric","First",17,"@Justin Kim: ok thanks",0,0,0,0,0,0
"109","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/3/2013 10:23",7,"Electric","First",17,"Does it talk about the RPN of any of these actuators somewhere",0,1,1,0,0,0
"110","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:24",8,"Electric","First",17,"@Akash: I didn't see any RPN numbers anywhere. I though it seemed like there was something missing.",1,0,1,0,0,0
"111","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:24",8,"Electric","First",17,"@Akash: I didn't see any RPN numbers anywhere. I though it seemed like there was something missing.",1,0,1,0,0,0
"112","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:34",8,"Electric","First",17,"So we need to do the prototype notebook before next time?",0,0,0,0,1,0
"113","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:34",8,"Electric","First",17,"So we need to do the prototype notebook before next time?",0,0,0,0,1,0
"114","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:37",8,"Electric","First",17,"@Justin Kim: Thanks.",0,0,0,0,0,0
"115","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/3/2013 10:37",8,"Electric","First",17,"@Justin Kim: Thanks.",0,0,0,0,0,0
"116","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:30",8,"Electric","First",22,"I sure am!",0,0,0,0,0,0
"117","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:30",8,"Electric","First",22,"I sure am!",0,0,0,0,0,0
"118","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:32",8,"Electric","First",22,"Yipee!",0,0,0,0,0,0
"119","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:32",8,"Electric","First",22,"What are we doing today?",0,0,0,0,0,0
"120","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:35",8,"Electric","First",22,"@Justin Kim:Okay and by the way where did it say to do the prototype designs? I did them only because I happened to run across the other prototypes",0,0,0,0,1,0
"121","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:39",8,"Electric","First",22,"@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/",0,0,0,0,1,0
"122","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:39",8,"Electric","First",22,"@Steven: I have an email from Vedant that is titled ""Designing Prototypes to Test"". It says to use the REDD to design your prototypes. Maybe you missed a worklog/",0,0,0,0,1,0
"123","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:40",8,"Electric","First",22,"The last worklog I did was the consultant one and I never received another or an email after that after that.",0,0,0,1,0,0
"124","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:41",8,"Electric","First",22,"Sorry I did not mean to send that",0,0,0,0,0,0
"125","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:41",8,"Electric","First",22,"@Akash:",0,0,0,0,0,0
"126","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:43",8,"Electric","First",22,"Alex I think you should put your prototypes into a batch.",0,0,0,0,1,0
"127","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","10/8/2013 9:44",9,"Electric","First",22,"Alright I just did I believe",0,0,0,0,0,0
"128","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:46",9,"Electric","First",22,"I think Brandon already did what we were supposed to decide in our meeting but I don't know",0,0,0,0,1,1
"129","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","10/8/2013 9:47",9,"Electric","First",22,"Okay and when will the results be available from our redd designs",1,0,0,0,1,0
